Total Sentiment Score,Follower Count,Tweet
0.64132,2944,@TheMominatrixx @vexedinthecity They pull this BS all the time in Chicago... my dad got punched in the face by one… https://t.co/y2G0wPktmf
0.019820000000000004,2623,"Strong winds are sweeping across Northern Michigan this afternoon, resulting in limited visibility and frigid wind… https://t.co/vMUYoCSYNz"
-0.15225999999999998,231,"RT @dianepathieu: WATCH THIS!!! AMAZINGLY THEY ARE OK!! 

2 Park District employees in their salt truck slipped off of the Lakefront trail…"
1.1675000000000002,499,"A little bit of a crazy day at the gallery, but you already know we’re rolling with it! Our phones our back up and… https://t.co/pxSOe9NDkr"
1.7457,761,RT @jayharrell32: I am excited and blessed to announce my commitment to the University of Michigan 🙏🏽 https://t.co/zguORPX1WT
0.61587,157,RT @Lions: Headed to #TBvsDET? Be sure to pick up your @III_Flowers roster card poster! Limited 🎟 remain: https://t.co/tJPHBq33fo @Ticketma…
1.7457,3627,RT @jayharrell32: I am excited and blessed to announce my commitment to the University of Michigan 🙏🏽 https://t.co/zguORPX1WT
0.49936,79208,Irony? A Chicago salt truck ended up in Lake Michigan after sliding on ice. https://t.co/UNNbaXNzDe
0.0,19,"RT @FootballGlory19: #B1G conference prediction
East
1 Michigan (8-1)
2 Michigan State (6-3) 
Penn State (6-3)
Ohio State (6-3)
5 Maryland…"
1.7457,1409,RT @jayharrell32: I am excited and blessed to announce my commitment to the University of Michigan 🙏🏽 https://t.co/zguORPX1WT
1.7457,121,RT @jayharrell32: I am excited and blessed to announce my commitment to the University of Michigan 🙏🏽 https://t.co/zguORPX1WT
0.9451799999999999,32,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
0.0,533,"@WolverineCorner 85-74 Michigan

Livers 16 points"
0.7711300000000001,78,i had a conversation with my mom about not really wanting to be in michigan anymore and possibly moving out and she… https://t.co/XOnshfLvtW
0.0,1344,"RT @FootballGlory19: #B1G conference prediction
East
1 Michigan (8-1)
2 Michigan State (6-3) 
Penn State (6-3)
Ohio State (6-3)
5 Maryland…"
1.2505199999999999,118,"@mateodechicago It just shows Matt you don't aim high in life. You want to be known as an also ran, knock yourself… https://t.co/6LCCNfoETt"
0.1146,107,RT @TremendousUM: BREAKING: 2020 four-star defensive end Jaylen Harrell commits to #Michigan; first verbal for the Wolverines since July: h…
0.1146,107,RT @TremendousUM: BREAKING: 2020 four-star defensive end Jaylen Harrell commits to #Michigan; first verbal for the Wolverines since July: h…
0.92702,456,RT @DNeckel19: Virginia is only the sixth school in the past 50 years to win the men’s basketball title and make a “New Year’s Six” Bowl Ga…
0.92702,456,RT @DNeckel19: Virginia is only the sixth school in the past 50 years to win the men’s basketball title and make a “New Year’s Six” Bowl Ga…
0,4557,2020 four-star DE Jaylen Harrell commits to Michigan https://t.co/k5zvcgn7gJ
0,4557,2020 four-star DE Jaylen Harrell commits to Michigan https://t.co/k5zvcgn7gJ
0.0,24,RT @isaiahhole: 2020 Tampa (FL) Berkeley Prep four-star hybrid LB/DE @jayharrell32 commits to #Michigan. https://t.co/4T8LeIJZRb
0.0,24,RT @isaiahhole: 2020 Tampa (FL) Berkeley Prep four-star hybrid LB/DE @jayharrell32 commits to #Michigan. https://t.co/4T8LeIJZRb
0.38759,29207,#Michigan's commitment list with @jayharrell32 now in the fold: https://t.co/pIR9YxiMbc
0.38759,29207,#Michigan's commitment list with @jayharrell32 now in the fold: https://t.co/pIR9YxiMbc
0.0,1691,RT @isaiahhole: 2020 Tampa (FL) Berkeley Prep four-star hybrid LB/DE @jayharrell32 commits to #Michigan. https://t.co/4T8LeIJZRb
0.0,1703,RT @isaiahhole: 2020 Tampa (FL) Berkeley Prep four-star hybrid LB/DE @jayharrell32 commits to #Michigan. https://t.co/4T8LeIJZRb
0.0,453,RT @isaiahhole: 2020 Tampa (FL) Berkeley Prep four-star hybrid LB/DE @jayharrell32 commits to #Michigan. https://t.co/4T8LeIJZRb
0.0,453,RT @isaiahhole: 2020 Tampa (FL) Berkeley Prep four-star hybrid LB/DE @jayharrell32 commits to #Michigan. https://t.co/4T8LeIJZRb
0.0,16493,2020 Tampa (FL) Berkeley Prep four-star hybrid LB/DE @jayharrell32 commits to #Michigan. https://t.co/4T8LeIJZRb
0.0,16494,2020 Tampa (FL) Berkeley Prep four-star hybrid LB/DE @jayharrell32 commits to #Michigan. https://t.co/4T8LeIJZRb
0,6054,Jaylen Harrell commits to Michigan https://t.co/AIY8MrCv7D
0,6054,Jaylen Harrell commits to Michigan https://t.co/AIY8MrCv7D
0.42506999999999995,159,@jayharrell32 @UMichFootball @TomVH @CoachJim4UM @BobbyHomeTeam That is a very huge and big accomplishment! Congrat… https://t.co/w8nZQHwkx4
0.17996,33,"RT @MaizenBrew: The Wolverines just landed one of the top defensive ends in the 2020 class

Four-star DE Jaylen Harrell commits to Michigan…"
0.17996,29778,"The Wolverines just landed one of the top defensive ends in the 2020 class

Four-star DE Jaylen Harrell commits to… https://t.co/M0IFcZYt59"
0.1146,381,RT @TremendousUM: BREAKING: 2020 four-star defensive end Jaylen Harrell commits to #Michigan; first verbal for the Wolverines since July: h…
0.46805,159,@EMUFB @quicklanebowl Good luck! Please win the Quick Lane Bowl! Go Eastern Michigan Eagles Football!
0.1146,37,RT @TremendousUM: BREAKING: 2020 four-star defensive end Jaylen Harrell commits to #Michigan; first verbal for the Wolverines since July: h…
0.17996,494,"RT @MaizenBrew: The Wolverines just landed one of the top defensive ends in the 2020 class

Four-star DE Jaylen Harrell commits to Michigan…"
0,494,RT @WoodsFootball: 2020 four-star DE Jaylen Harrell commits to Michigan https://t.co/k5zvcgn7gJ
0.88735,9,On Halloween at work I dress like Jim Harbaugh as the Michigan Wolverines football coach #michiganfootball… https://t.co/ToT3tLy57R
0.5647099999999999,434,"RT @sehsathletics: Although he came to St. Edward as a student basketball player, Montorie Foster will go to the next level a student-athle…"
0.32141,909,"RT @247Sports: Michigan lands commitment from four-star defensive end Jaylen Harrell.

https://t.co/lhlNxqMK7z https://t.co/piEamUUM2V"
0.0,5342,"Michigan lands 2020 4⭐️ LB/DE Jaylen Harrell (FL) over FSU and Florida. Welcome to the 〽️ob, Jaylen! 😈 #GoBlue @ Ta… https://t.co/tkwu552IgQ"
0.1146,107,RT @TremendousUM: BREAKING: 2020 four-star defensive end Jaylen Harrell commits to #Michigan; first verbal for the Wolverines since July: h…
0.1146,107,RT @TremendousUM: BREAKING: 2020 four-star defensive end Jaylen Harrell commits to #Michigan; first verbal for the Wolverines since July: h…
0.92702,456,RT @DNeckel19: Virginia is only the sixth school in the past 50 years to win the men’s basketball title and make a “New Year’s Six” Bowl Ga…
0.92702,456,RT @DNeckel19: Virginia is only the sixth school in the past 50 years to win the men’s basketball title and make a “New Year’s Six” Bowl Ga…
0,4557,2020 four-star DE Jaylen Harrell commits to Michigan https://t.co/k5zvcgn7gJ
0,4557,2020 four-star DE Jaylen Harrell commits to Michigan https://t.co/k5zvcgn7gJ
0.0,24,RT @isaiahhole: 2020 Tampa (FL) Berkeley Prep four-star hybrid LB/DE @jayharrell32 commits to #Michigan. https://t.co/4T8LeIJZRb
0.0,24,RT @isaiahhole: 2020 Tampa (FL) Berkeley Prep four-star hybrid LB/DE @jayharrell32 commits to #Michigan. https://t.co/4T8LeIJZRb
0.38759,29207,#Michigan's commitment list with @jayharrell32 now in the fold: https://t.co/pIR9YxiMbc
